月日,路線,方面,時間帯,福岡空港～東比恵,東比恵～博多,博多～祇園,祇園～中洲川端,中洲川端～天神,天神～赤坂,赤坂～大濠公園,大濠公園～唐人町,唐人町～西新,西新～藤崎,藤崎～室見,室見～姪浜,
0409,空港線,西行,16:00～16:15,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,16:15～16:30,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,16:30～16:45,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,16:45～17:00,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,17:00～17:15,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,17:15～17:30,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,17:30～17:45,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,17:45～18:00,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,18:00～18:15,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,18:15～18:30,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,18:30～18:45,0,0,0,0,0,0,0,0,0,0,0,0,
0409,空港線,西行,18:45～19:00,0,0,0,0,0,0,0,0,0,0,0,0,
