月日,路線,方面,時間帯,福岡空港～東比恵,東比恵～博多,博多～祇園,祇園～中洲川端,中洲川端～天神,天神～赤坂,赤坂～大濠公園,大濠公園～唐人町,唐人町～西新,西新～藤崎,藤崎～室見,室見～姪浜,
0410,空港線,西行,7:00～7:15,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,7:15～7:30,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,7:30～7:45,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,7:45～8:00,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,8:00～8:15,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,8:15～8:30,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,8:30～8:45,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,8:45～9:00,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,9:00～9:15,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,9:15～9:30,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,9:30～9:45,0,0,0,0,0,0,0,0,0,0,0,0,
0410,空港線,西行,9:45～10:00,0,0,0,0,0,0,0,0,0,0,0,0,
