月日,路線,方面,時間帯,橋本～次郎丸,次郎丸～賀茂,賀茂～野芥,野芥～梅林,梅林～福大前,福大前～七隈,七隈～金山,金山～茶山,茶山～別府,別府～六本松,六本松～桜坂,桜坂～薬院大通,薬院大通～薬院,薬院～渡辺通,渡辺通～天神南,
0417,七隈線,東行,7:00～7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,7:15～7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,7:30～7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,7:45～8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,8:00～8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,8:15～8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,8:30～8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,8:45～9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,9:00～9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,9:15～9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,9:30～9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0417,七隈線,東行,9:45～10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
