月日,路線,方面,時間帯,貝塚～箱崎九大前,箱崎九大前～箱崎宮前,箱崎宮前～馬出九大病院前,馬出九大病院前～千代県庁口,千代県庁口～呉服町,呉服町～中洲川端,
0428,箱崎線,南行,7:00～7:15,0,0,0,0,0,0,
0428,箱崎線,南行,7:15～7:30,0,0,0,0,0,0,
0428,箱崎線,南行,7:30～7:45,0,0,0,0,0,0,
0428,箱崎線,南行,7:45～8:00,0,0,0,0,0,0,
0428,箱崎線,南行,8:00～8:15,0,0,0,0,0,0,
0428,箱崎線,南行,8:15～8:30,0,0,0,0,0,0,
0428,箱崎線,南行,8:30～8:45,0,0,0,0,0,0,
0428,箱崎線,南行,8:45～9:00,0,0,0,0,0,0,
0428,箱崎線,南行,9:00～9:15,0,0,0,0,0,0,
0428,箱崎線,南行,9:15～9:30,0,0,0,0,0,0,
0428,箱崎線,南行,9:30～9:45,0,0,0,0,0,0,
0428,箱崎線,南行,9:45～10:00,0,0,0,0,0,0,
