月日,路線,方面,時間帯,天神南～渡辺通,渡辺通～薬院,薬院～薬院大通,薬院大通～桜坂,桜坂～六本松,六本松～別府,別府～茶山,茶山～金山,金山～七隈,七隈～福大前,福大前～梅林,梅林～野芥,野芥～賀茂,賀茂～次郎丸,次郎丸～橋本,
0507,七隈線,西行,7:00～7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,7:15～7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,7:30～7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,7:45～8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,8:00～8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,8:15～8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,8:30～8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,8:45～9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,9:00～9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,9:15～9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,9:30～9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0507,七隈線,西行,9:45～10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
