月日,路線,方面,時間帯,姪浜～室見,室見～藤崎,藤崎～西新,西新～唐人町,唐人町～大濠公園,大濠公園～赤坂,赤坂～天神,天神～中洲川端,中洲川端～祇園,祇園～博多,博多～東比恵,東比恵～福岡空港,
0512,空港線,東行,16:00～16:15,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,16:15～16:30,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,16:30～16:45,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,16:45～17:00,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,17:00～17:15,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,17:15～17:30,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,17:30～17:45,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,17:45～18:00,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,18:00～18:15,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,18:15～18:30,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,18:30～18:45,0,0,0,0,0,0,0,0,0,0,0,0,
0512,空港線,東行,18:45～19:00,0,0,0,0,0,0,0,0,0,0,0,0,
